timestamp,event_type,risk_score,details
2026-08-29T03:49:09,DISTRACTION,45,"{""ear"": 0.147, ""mar"": 0.019, ""head_direction"": ""LOOKING UP"", ""pitch"": 171.6, ""yaw"": -14.3, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:49:14,DISTRACTION,45,"{""ear"": 0.454, ""mar"": 1.26, ""head_direction"": ""LOOKING RIGHT"", ""pitch"": 160.6, ""yaw"": 24.4, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:49:15,YAWN,65,"{""ear"": 0.383, ""mar"": 1.438, ""head_direction"": ""LOOKING RIGHT"", ""pitch"": 160.9, ""yaw"": 24.8, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:49:16,NO_SEATBELT,65,"{""ear"": 0.415, ""mar"": 1.283, ""head_direction"": ""LOOKING RIGHT"", ""pitch"": 160.8, ""yaw"": 24.3, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:49:19,DISTRACTION,65,"{""ear"": 0.237, ""mar"": 1.714, ""head_direction"": ""LOOKING UP"", ""pitch"": 154.4, ""yaw"": 3.4, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:49:21,YAWN,65,"{""ear"": 0.259, ""mar"": 1.74, ""head_direction"": ""LOOKING UP"", ""pitch"": 155.4, ""yaw"": 8.5, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:49:21,NO_SEATBELT,65,"{""ear"": 0.259, ""mar"": 1.74, ""head_direction"": ""LOOKING UP"", ""pitch"": 155.4, ""yaw"": 8.5, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:49:24,DISTRACTION,25,"{""ear"": 0.38, ""mar"": 0.04, ""head_direction"": ""LOOKING UP"", ""pitch"": 169.0, ""yaw"": -0.6, ""phone"": false, ""seatbelt"": true}"
2026-08-29T03:49:29,NO_SEATBELT,45,"{""ear"": 0.272, ""mar"": 0.03, ""head_direction"": ""LOOKING UP"", ""pitch"": 166.9, ""yaw"": 1.9, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:49:29,DISTRACTION,25,"{""ear"": 0.217, ""mar"": 0.036, ""head_direction"": ""LOOKING UP"", ""pitch"": 166.9, ""yaw"": 0.9, ""phone"": false, ""seatbelt"": true}"
2026-08-29T03:49:35,DISTRACTION,45,"{""ear"": 0.191, ""mar"": 0.025, ""head_direction"": ""LOOKING UP"", ""pitch"": 172.3, ""yaw"": 7.9, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:49:35,NO_SEATBELT,45,"{""ear"": 0.191, ""mar"": 0.025, ""head_direction"": ""LOOKING UP"", ""pitch"": 172.3, ""yaw"": 7.9, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:58:04,NO_SEATBELT,20,"{""ear"": 0.36, ""mar"": 0.07, ""head_direction"": ""LOOKING RIGHT"", ""pitch"": 179.9, ""yaw"": 35.5, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:58:04,DISTRACTION,45,"{""ear"": 0.3, ""mar"": 0.015, ""head_direction"": ""LOOKING RIGHT"", ""pitch"": 174.5, ""yaw"": 36.3, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:58:09,NO_SEATBELT,45,"{""ear"": 0.381, ""mar"": 0.019, ""head_direction"": ""LOOKING UP"", ""pitch"": 174.2, ""yaw"": -12.2, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:58:10,DISTRACTION,45,"{""ear"": 0.388, ""mar"": 0.016, ""head_direction"": ""LOOKING UP"", ""pitch"": 174.3, ""yaw"": -11.6, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:58:14,NO_SEATBELT,45,"{""ear"": 0.42, ""mar"": 0.012, ""head_direction"": ""LOOKING DOWN"", ""pitch"": -178.1, ""yaw"": 10.1, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:58:15,DISTRACTION,45,"{""ear"": 0.427, ""mar"": 0.012, ""head_direction"": ""LOOKING UP"", ""pitch"": 179.9, ""yaw"": -1.2, ""phone"": false, ""seatbelt"": false}"
